user_name	tweet	date
Matheus17221572	Outback de ontem fez efeito🥴💩	2022-06-11 13:45:53+00:00
hatfeltt	Ia almoçar uns restos de outback e esqueci na geladeira pq acordei atrasado 💩	2022-04-26 16:03:14+00:00
marcus_pummer	"A anos não com pro nada dessas marcas:
Perdigão, Sadia, Seara, Ambev (todo tipo de bebida), Johnson &amp; Johnson, Elma Chips, Nescau, Boticário, Natura, Avon, Havaianas, Fran's Café, Mc Donald's, Subway, Burguer King, Pizza Hut, Coca-Cola, Giraffa's, Habbib's e Outback.
Não banco💩."	2022-02-08 22:44:56+00:00
george_turetto	"@ichjay @prisfigueiredo @_cass14__ Outback tb é bolsonarista???

Pq já risquei da minha lista o 💩bambu, o madeiro...."	2021-09-03 10:11:15+00:00
Marcuxx_	Completando: 💩 bambu, Outback e outras são fastfood. Parabéns, vc paga caro pra comer no MC com molho carregado no açúcar	2021-09-02 20:07:16+00:00
cindyc05212945	"Setembro amarelo pra vcs 💛

O mês da galera do lacre fazer bullying com funcionários do coco bambu, outback e Madero

A maioria nunca comeu nesses lugares
A inveja é uma 💩"	2021-09-02 12:42:18+00:00
tatomaz_	@_nicoleolliver Vamos comer um outback pra comemorar, pq aqui tbm deu 💩	2021-08-06 19:24:03+00:00
PedroM1r4nda	"[14/11 18:14] Pedro Miranda: Cs vão fazer alguma coisa hoje ?
[14/11 18:14] 💩💩💩l: To indo no outback com a gata agr amigo

Mais um, agora tô sozinho mesmo😔😔😔"	2020-11-14 21:17:14+00:00
charles_weasley	@danielpohl 1... mas a minha caneca é literalmente o caneco de cerveja do outback 💩	2020-11-10 16:26:03+00:00
Teodoro77593268	"@taoquei1 #BoicoteOutback  Outback Shit House 💩💩💩

P.S. acabei de assinar a Gazeta do Povo!
👇
Parabéns, seu pagamento foi aprovado!
Seu acesso digital já está liberado. Aproveite todo o conteúdo exclusivo."	2020-11-09 02:58:13+00:00
Teodoro77593268	"@DeCocadinha @OutbackBrasil @gazetadopovo @Rconstantino #BoicoteOutback  Outback Shit House 💩💩💩
P.S. acabei de assinar a Gazeta do Povo!
👇
Parabéns, seu pagamento foi aprovado!
Seu acesso digital já está liberado. Aproveite todo o conteúdo exclusivo."	2020-11-09 02:54:25+00:00
Teodoro77593268	"@Rconstantino #BoicoteOutback  Outback Shit House 💩💩💩
Bom mesmo é o Madero!

P.S. Acabei de assinar a Gazeta do Povo! 
👇
Parabéns, seu pagamento foi aprovado!
Seu acesso digital já está liberado. Aproveite todo o conteúdo exclusivo."	2020-11-09 02:51:55+00:00
